Name,Team,AVG,HR,RBI,OBP,SLG,SB,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,0.333,38,88,0.444,0.687,7,0.457,200,0.398,0.353,0.261,0.163
Cal Raleigh,SEA,0.243,45,98,0.35,0.582,13,0.386,156,0.24,0.339,0.27,0.134
Shohei Ohtani,LAD,0.284,43,79,0.391,0.63,17,0.421,174,0.322,0.346,0.26899999999999996,0.145
Bobby Witt Jr.,KCR,0.288,17,67,0.346,0.494,30,0.355,125,0.33,0.205,0.192,0.077
Jose Ramirez,CLE,0.298,25,64,0.371,0.528,35,0.374,143,0.288,0.23,0.102,0.096
Pete Crow-Armstrong,CHC,0.254,27,78,0.291,0.518,30,0.341,122,0.283,0.263,0.243,0.040999999999999995
Fernando Tatis Jr.,SDP,0.266,17,49,0.37,0.435,24,0.35,129,0.304,0.169,0.182,0.131
Geraldo Perdomo,ARI,0.288,13,79,0.388,0.444,19,0.364,134,0.3,0.155,0.10800000000000001,0.136
Trea Turner,PHI,0.285,12,52,0.341,0.427,26,0.334,113,0.327,0.142,0.16899999999999998,0.073
Corbin Carroll,ARI,0.248,26,63,0.321,0.55,14,0.366,135,0.277,0.302,0.245,0.084
Jeremy Pena,HOU,0.318,13,45,0.373,0.492,17,0.374,142,0.355,0.174,0.161,0.055
Ketel Marte,ARI,0.296,23,56,0.398,0.557,3,0.406,162,0.295,0.26,0.138,0.133
Maikel Garcia,KCR,0.302,11,51,0.365,0.469,22,0.361,129,0.33,0.168,0.13,0.091
Byron Buxton,MIN,0.282,24,60,0.344,0.56,17,0.379,145,0.326,0.279,0.265,0.081
Kyle Tucker,CHC,0.265,18,62,0.377,0.457,24,0.361,135,0.282,0.193,0.145,0.149
Julio Rodriguez,SEA,0.259,24,67,0.315,0.457,23,0.333,119,0.293,0.198,0.21899999999999997,0.059000000000000004
Will Smith,LAD,0.312,15,54,0.416,0.524,2,0.404,163,0.355,0.212,0.187,0.149
Vladimir Guerrero Jr.,TOR,0.3,20,67,0.397,0.496,5,0.384,149,0.319,0.196,0.136,0.13
Elly De La Cruz,CIN,0.277,19,74,0.35,0.462,31,0.347,119,0.347,0.185,0.251,0.099
Kyle Schwarber,PHI,0.249,42,98,0.371,0.577,10,0.4,158,0.27,0.327,0.276,0.146
Kyle Stowers,MIA,0.285,25,72,0.365,0.538,5,0.383,147,0.352,0.253,0.276,0.10400000000000001
Manny Machado,SDP,0.296,20,72,0.358,0.489,11,0.364,139,0.326,0.193,0.171,0.087
Francisco Lindor,NYM,0.249,22,65,0.32,0.435,19,0.327,113,0.271,0.185,0.193,0.076
Gunnar Henderson,BAL,0.283,14,51,0.352,0.468,16,0.353,128,0.347,0.185,0.22399999999999998,0.091
Juan Soto,NYM,0.252,29,69,0.384,0.494,19,0.374,146,0.262,0.242,0.195,0.17600000000000002
Masyn Winn,STL,0.264,8,42,0.319,0.382,7,0.308,99,0.308,0.118,0.174,0.066
Cody Bellinger,NYY,0.27,22,69,0.325,0.491,10,0.348,124,0.268,0.221,0.13,0.078
Junior Caminero,TBR,0.262,34,84,0.3,0.532,5,0.35,125,0.259,0.27,0.204,0.053
Corey Seager,TEX,0.26,17,43,0.365,0.461,3,0.352,128,0.29,0.201,0.19899999999999998,0.133
