Name,Team,G,AB,R,H,HR,RBI,SB,BB,SO,AVG,OBP,SLG,OPS,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,100,367,89,128,36,82,6,72,117,0.349,0.456,0.719,1.176,0.476,213,0.422,0.371,0.262,0.161
Cal Raleigh,SEA,98,364,67,93,38,83,11,63,107,0.255,0.37,0.613,0.983,0.406,170,0.248,0.357,0.24600000000000002,0.145
Pete Crow-Armstrong,CHC,98,385,68,104,26,72,28,18,96,0.27,0.306,0.556,0.861,0.364,137,0.293,0.286,0.23199999999999998,0.044000000000000004
Bobby Witt Jr.,KCR,101,399,60,115,14,56,27,31,82,0.288,0.339,0.491,0.831,0.351,122,0.327,0.203,0.187,0.071
Shohei Ohtani,LAD,99,386,94,106,35,67,13,63,115,0.275,0.379,0.614,0.993,0.411,169,0.298,0.339,0.253,0.138
Byron Buxton,MIN,81,312,68,91,23,58,17,28,90,0.292,0.353,0.583,0.937,0.394,155,0.335,0.292,0.259,0.08
Fernando Tatis Jr.,SDP,98,370,67,98,16,42,22,55,77,0.265,0.365,0.443,0.808,0.35,130,0.295,0.178,0.179,0.128
Corbin Carroll,ARI,84,340,66,85,21,49,13,32,98,0.25,0.326,0.559,0.885,0.373,140,0.288,0.309,0.258,0.084
Jose Ramirez,CLE,96,361,60,106,20,55,29,38,45,0.294,0.364,0.521,0.885,0.369,140,0.286,0.227,0.11,0.09300000000000001
Kyle Tucker,CHC,99,369,70,102,18,57,22,63,61,0.276,0.382,0.496,0.878,0.375,145,0.287,0.22,0.139,0.14400000000000002
Jeremy Pena,HOU,82,317,48,102,11,40,15,20,55,0.322,0.378,0.489,0.867,0.376,144,0.36,0.167,0.157,0.057
James Wood,WSN,99,371,61,102,24,70,14,62,121,0.275,0.379,0.526,0.905,0.384,149,0.341,0.251,0.276,0.142
Trea Turner,PHI,98,402,64,115,11,41,25,32,72,0.286,0.343,0.425,0.769,0.336,114,0.324,0.139,0.16399999999999998,0.073
Will Smith,LAD,78,261,49,85,14,48,2,45,55,0.326,0.424,0.556,0.979,0.419,174,0.36,0.23,0.175,0.14300000000000002
Elly De La Cruz,CIN,101,383,75,107,18,65,26,47,104,0.279,0.36,0.483,0.843,0.36,128,0.34,0.204,0.24,0.109
Kyle Stowers,MIA,95,319,49,94,22,60,4,36,101,0.295,0.37,0.564,0.934,0.396,156,0.362,0.27,0.278,0.099
Eugenio Suarez,ARI,99,362,64,93,36,86,1,28,105,0.257,0.328,0.605,0.933,0.391,153,0.252,0.348,0.257,0.069
Alejandro Kirk,TOR,84,298,27,92,7,46,0,28,31,0.309,0.366,0.416,0.782,0.342,119,0.322,0.107,0.094,0.085
Ceddanne Rafaela,BOS,96,333,56,90,14,48,14,16,67,0.27,0.311,0.471,0.782,0.337,111,0.3,0.201,0.188,0.045
Francisco Lindor,NYM,99,400,64,99,19,55,16,33,80,0.248,0.316,0.435,0.751,0.325,112,0.261,0.188,0.17800000000000002,0.073
Geraldo Perdomo,ARI,100,367,55,99,10,72,15,59,51,0.27,0.372,0.417,0.789,0.348,123,0.283,0.147,0.115,0.133
Manny Machado,SDP,100,382,60,109,18,60,8,39,73,0.285,0.347,0.487,0.834,0.358,135,0.307,0.202,0.171,0.092
Kyle Schwarber,PHI,100,367,70,91,32,74,9,68,119,0.248,0.377,0.553,0.93,0.395,155,0.273,0.305,0.26899999999999996,0.153
Juan Soto,NYM,100,355,72,91,24,59,12,79,83,0.256,0.39,0.501,0.891,0.381,151,0.266,0.245,0.18899999999999997,0.18
Cody Bellinger,NYY,91,354,56,99,17,56,9,29,54,0.28,0.332,0.492,0.823,0.352,127,0.285,0.212,0.139,0.075
Andy Pages,LAD,97,365,47,103,18,60,8,18,82,0.282,0.321,0.479,0.801,0.344,122,0.316,0.197,0.209,0.046
Masyn Winn,STL,89,342,57,92,7,33,6,27,66,0.269,0.326,0.389,0.715,0.315,103,0.314,0.12,0.17600000000000002,0.07200000000000001
Matt Olson,ATL,99,374,56,98,18,64,0,59,104,0.262,0.363,0.473,0.836,0.362,134,0.314,0.211,0.237,0.135
CJ Abrams,WSN,86,344,63,96,13,36,20,25,63,0.279,0.344,0.477,0.821,0.354,129,0.307,0.198,0.165,0.065
Zach McKinstry,DET,92,301,49,83,8,32,16,36,72,0.276,0.357,0.455,0.812,0.351,126,0.333,0.179,0.20800000000000002,0.10400000000000001
Pete Alonso,NYM,101,374,53,102,21,77,1,47,101,0.273,0.368,0.516,0.884,0.378,149,0.316,0.243,0.231,0.10800000000000001
Riley Greene,DET,99,382,54,106,25,79,1,27,132,0.277,0.327,0.534,0.861,0.366,137,0.357,0.257,0.32,0.065
Isaac Paredes,HOU,94,351,51,91,19,50,0,49,67,0.259,0.359,0.47,0.829,0.362,134,0.27,0.211,0.16399999999999998,0.12
Randy Arozarena,SEA,98,365,56,91,18,49,16,45,116,0.249,0.356,0.463,0.819,0.356,136,0.312,0.214,0.27,0.105
Michael Busch,CHC,94,312,47,89,20,60,4,37,83,0.285,0.372,0.545,0.917,0.393,157,0.33,0.26,0.23399999999999999,0.10400000000000001
Jacob Wilson,ATH,91,358,45,114,10,44,5,20,29,0.318,0.36,0.45,0.81,0.353,124,0.325,0.131,0.076,0.052000000000000005
Matt Chapman,SFG,77,277,44,66,13,35,7,43,78,0.238,0.347,0.43,0.776,0.343,123,0.285,0.191,0.24100000000000002,0.133
Xander Bogaerts,SDP,98,347,42,93,6,35,16,43,63,0.268,0.346,0.38,0.726,0.319,108,0.307,0.112,0.159,0.10800000000000001
Julio Rodriguez,SEA,99,409,65,102,14,51,19,30,100,0.249,0.312,0.408,0.72,0.315,107,0.296,0.159,0.223,0.067
Gunnar Henderson,BAL,92,351,51,98,11,35,13,33,91,0.279,0.344,0.459,0.802,0.345,123,0.348,0.179,0.235,0.085
