Name,Team,AVG,HR,RBI,OBP,SLG,SB,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,0.321,40,93,0.437,0.663,8,0.446,192,0.382,0.342,0.258,0.168
Cal Raleigh,SEA,0.245,50,107,0.352,0.591,14,0.391,159,0.245,0.346,0.272,0.132
Bobby Witt Jr.,KCR,0.296,19,72,0.353,0.501,34,0.36,129,0.338,0.205,0.188,0.077
Shohei Ohtani,LAD,0.278,45,85,0.389,0.612,17,0.414,169,0.313,0.334,0.261,0.149
Trea Turner,PHI,0.298,14,61,0.351,0.449,32,0.347,121,0.343,0.151,0.171,0.069
Geraldo Perdomo,ARI,0.291,14,86,0.393,0.45,23,0.368,137,0.307,0.159,0.11199999999999999,0.138
Pete Crow-Armstrong,CHC,0.256,28,82,0.295,0.51,31,0.34,121,0.288,0.254,0.242,0.043
Corbin Carroll,ARI,0.258,27,67,0.333,0.554,20,0.373,140,0.297,0.296,0.247,0.09
Fernando Tatis Jr.,SDP,0.263,18,54,0.37,0.432,26,0.35,129,0.299,0.17,0.179,0.136
Jose Ramirez,CLE,0.284,26,68,0.358,0.504,36,0.358,131,0.277,0.22,0.11,0.095
Francisco Lindor,NYM,0.264,25,72,0.333,0.456,24,0.34,122,0.289,0.192,0.192,0.076
Jeremy Pena,HOU,0.308,14,50,0.367,0.48,19,0.366,136,0.346,0.173,0.165,0.063
Maikel Garcia,KCR,0.297,13,60,0.36,0.463,22,0.356,126,0.324,0.166,0.132,0.09
Kyle Tucker,CHC,0.262,21,69,0.374,0.462,25,0.361,135,0.276,0.2,0.146,0.147
Ketel Marte,ARI,0.29,23,60,0.387,0.529,3,0.39,152,0.298,0.239,0.15,0.128
Gunnar Henderson,BAL,0.281,16,59,0.352,0.468,19,0.352,127,0.342,0.187,0.22399999999999998,0.09300000000000001
Julio Rodriguez,SEA,0.261,25,73,0.315,0.458,23,0.333,119,0.3,0.197,0.222,0.057999999999999996
Kyle Schwarber,PHI,0.245,45,110,0.369,0.565,10,0.395,154,0.258,0.32,0.264,0.15
Kyle Stowers,MIA,0.288,25,73,0.368,0.544,5,0.387,149,0.356,0.256,0.27399999999999997,0.105
Juan Soto,NYM,0.251,32,78,0.39,0.492,21,0.377,147,0.259,0.242,0.19399999999999998,0.185
Will Smith,LAD,0.295,16,59,0.403,0.494,2,0.388,152,0.345,0.199,0.20600000000000002,0.146
Byron Buxton,MIN,0.268,25,62,0.33,0.525,19,0.36,131,0.31,0.257,0.267,0.08
Elly De La Cruz,CIN,0.273,19,77,0.344,0.453,31,0.34,114,0.347,0.18,0.256,0.096
Cody Bellinger,NYY,0.275,24,78,0.327,0.493,11,0.349,125,0.272,0.218,0.127,0.075
Alejandro Kirk,TOR,0.297,11,60,0.361,0.422,1,0.342,120,0.308,0.126,0.1,0.09300000000000001
Corey Seager,TEX,0.267,20,48,0.369,0.476,3,0.36,133,0.297,0.209,0.19699999999999998,0.129
Manny Machado,SDP,0.29,21,78,0.351,0.475,12,0.355,132,0.322,0.185,0.177,0.084
Jazz Chisholm Jr.,NYY,0.24,25,64,0.334,0.489,22,0.354,128,0.276,0.249,0.278,0.114
Vladimir Guerrero Jr.,TOR,0.295,21,72,0.391,0.491,5,0.379,145,0.315,0.196,0.142,0.128
Junior Caminero,TBR,0.259,39,94,0.301,0.539,7,0.353,126,0.25,0.281,0.2,0.057999999999999996
Andy Pages,LAD,0.275,23,75,0.319,0.469,13,0.338,117,0.308,0.194,0.21,0.052000000000000005
George Springer,TOR,0.301,24,67,0.388,0.541,14,0.397,158,0.324,0.241,0.18100000000000002,0.11699999999999999
Brice Turang,MIL,0.285,15,67,0.351,0.43,22,0.34,120,0.346,0.145,0.21899999999999997,0.092
Wyatt Langford,TEX,0.248,19,54,0.339,0.434,18,0.336,116,0.311,0.186,0.27,0.11599999999999999
Nico Hoerner,CHC,0.288,4,50,0.337,0.37,23,0.312,101,0.305,0.081,0.073,0.06
Masyn Winn,STL,0.256,9,47,0.31,0.372,9,0.301,93,0.301,0.117,0.184,0.063
William Contreras,MIL,0.26,15,65,0.359,0.404,6,0.336,116,0.297,0.144,0.177,0.132
Eugenio Suarez,- - -,0.235,41,101,0.308,0.543,3,0.358,131,0.241,0.309,0.278,0.069
Riley Greene,DET,0.268,32,99,0.323,0.517,2,0.357,130,0.337,0.249,0.31,0.07200000000000001
