Name,Team,AVG,HR,RBI,OBP,SLG,SB,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,0.326,40,92,0.44,0.674,8,0.451,196,0.387,0.347,0.257,0.166
Cal Raleigh,SEA,0.244,47,102,0.351,0.58,14,0.386,156,0.246,0.336,0.272,0.134
Bobby Witt Jr.,KCR,0.298,19,71,0.354,0.506,34,0.363,131,0.339,0.208,0.188,0.077
Shohei Ohtani,LAD,0.28,44,83,0.389,0.616,17,0.415,170,0.315,0.335,0.26,0.147
Trea Turner,PHI,0.301,14,61,0.355,0.452,32,0.35,123,0.344,0.151,0.166,0.071
Pete Crow-Armstrong,CHC,0.256,28,81,0.296,0.512,30,0.342,122,0.289,0.256,0.244,0.044000000000000004
Geraldo Perdomo,ARI,0.29,14,84,0.392,0.446,23,0.366,135,0.301,0.156,0.106,0.139
Jose Ramirez,CLE,0.289,26,68,0.363,0.514,36,0.364,135,0.279,0.225,0.105,0.09699999999999999
Fernando Tatis Jr.,SDP,0.266,17,52,0.374,0.432,26,0.352,130,0.305,0.166,0.18,0.138
Corbin Carroll,ARI,0.253,27,65,0.327,0.554,18,0.37,138,0.288,0.301,0.245,0.08800000000000001
Francisco Lindor,NYM,0.265,25,72,0.333,0.462,23,0.343,124,0.289,0.197,0.19,0.076
Maikel Garcia,KCR,0.298,12,57,0.361,0.462,22,0.357,126,0.328,0.164,0.135,0.09
Ketel Marte,ARI,0.293,23,58,0.392,0.54,3,0.396,156,0.299,0.247,0.146,0.129
Jeremy Pena,HOU,0.304,14,49,0.364,0.478,17,0.364,135,0.339,0.174,0.16,0.063
Kyle Tucker,CHC,0.262,21,68,0.373,0.465,25,0.361,135,0.273,0.203,0.14300000000000002,0.146
Elly De La Cruz,CIN,0.276,19,77,0.349,0.46,31,0.345,117,0.349,0.185,0.253,0.098
Kyle Schwarber,PHI,0.249,45,109,0.37,0.576,10,0.399,157,0.265,0.326,0.268,0.146
Julio Rodriguez,SEA,0.259,25,71,0.312,0.46,23,0.332,119,0.298,0.201,0.22699999999999998,0.055
Kyle Stowers,MIA,0.288,25,73,0.368,0.544,5,0.387,149,0.356,0.256,0.27399999999999997,0.105
Gunnar Henderson,BAL,0.281,15,58,0.352,0.464,17,0.351,126,0.341,0.183,0.22,0.09300000000000001
Byron Buxton,MIN,0.269,25,62,0.331,0.531,19,0.362,133,0.311,0.261,0.266,0.079
Will Smith,LAD,0.297,15,58,0.403,0.491,2,0.387,151,0.348,0.194,0.203,0.14400000000000002
Vladimir Guerrero Jr.,TOR,0.298,21,69,0.396,0.498,5,0.384,149,0.319,0.2,0.141,0.13
Juan Soto,NYM,0.249,32,76,0.386,0.497,21,0.376,147,0.256,0.247,0.195,0.18100000000000002
Manny Machado,SDP,0.292,21,78,0.354,0.482,12,0.359,135,0.322,0.19,0.17300000000000001,0.086
Corey Seager,TEX,0.267,19,47,0.368,0.474,3,0.359,132,0.296,0.207,0.193,0.128
Cody Bellinger,NYY,0.272,24,75,0.325,0.492,11,0.348,124,0.269,0.22,0.13,0.075
Alejandro Kirk,TOR,0.293,10,57,0.354,0.412,1,0.334,115,0.305,0.119,0.102,0.08800000000000001
Masyn Winn,STL,0.258,9,46,0.314,0.378,9,0.305,96,0.302,0.119,0.179,0.064
Junior Caminero,TBR,0.255,36,87,0.299,0.523,6,0.346,121,0.251,0.268,0.205,0.059000000000000004
Jazz Chisholm Jr.,NYY,0.236,22,58,0.332,0.467,22,0.345,123,0.28,0.231,0.284,0.114
Sal Frelick,MIL,0.299,9,50,0.362,0.415,18,0.342,121,0.331,0.116,0.132,0.078
Wyatt Langford,TEX,0.248,19,52,0.338,0.439,16,0.336,117,0.308,0.191,0.26899999999999996,0.115
Nico Hoerner,CHC,0.289,4,49,0.339,0.369,23,0.313,102,0.306,0.081,0.07400000000000001,0.061
James Wood,WSN,0.26,26,83,0.355,0.482,15,0.358,130,0.345,0.222,0.307,0.126
Matt Olson,ATL,0.268,19,72,0.365,0.452,1,0.355,128,0.333,0.183,0.24,0.131
Brice Turang,MIL,0.286,14,64,0.352,0.428,21,0.34,120,0.348,0.142,0.218,0.092
Andy Pages,LAD,0.271,21,71,0.317,0.454,13,0.332,113,0.305,0.183,0.209,0.053
George Springer,TOR,0.295,22,64,0.385,0.528,13,0.391,154,0.32,0.233,0.182,0.11800000000000001
Eugenio Suarez,- - -,0.237,40,98,0.305,0.544,3,0.357,130,0.245,0.308,0.28,0.063
Bo Bichette,TOR,0.302,16,83,0.345,0.468,4,0.35,126,0.333,0.166,0.146,0.057
Zach McKinstry,DET,0.265,11,41,0.34,0.454,19,0.342,120,0.324,0.188,0.222,0.096
CJ Abrams,WSN,0.265,17,51,0.327,0.456,26,0.338,117,0.294,0.191,0.175,0.061
Randy Arozarena,SEA,0.238,24,60,0.338,0.443,24,0.34,125,0.29,0.205,0.264,0.095
Jarren Duran,BOS,0.259,12,70,0.335,0.445,21,0.337,112,0.329,0.186,0.237,0.086
Xander Bogaerts,SDP,0.264,10,48,0.332,0.392,19,0.316,105,0.297,0.129,0.16,0.092
Matt Chapman,SFG,0.227,16,44,0.338,0.42,8,0.334,117,0.273,0.193,0.25,0.132
William Contreras,MIL,0.256,14,63,0.355,0.394,6,0.33,113,0.294,0.139,0.179,0.132
Shea Langeliers,ATH,0.265,28,61,0.312,0.546,5,0.361,129,0.262,0.281,0.193,0.068
Pete Alonso,NYM,0.262,29,103,0.346,0.51,1,0.364,138,0.29,0.248,0.223,0.094
Ryan O'Hearn,- - -,0.282,16,53,0.376,0.467,3,0.364,135,0.317,0.185,0.187,0.11800000000000001
Riley Greene,DET,0.263,30,94,0.318,0.506,1,0.351,126,0.332,0.243,0.31,0.07200000000000001
Ceddanne Rafaela,BOS,0.249,14,53,0.294,0.42,19,0.309,92,0.281,0.171,0.187,0.047
Zach Neto,LAA,0.264,21,55,0.321,0.472,22,0.338,116,0.319,0.209,0.258,0.057
Jackson Chourio,MIL,0.276,17,67,0.311,0.474,18,0.335,116,0.315,0.198,0.201,0.047
Willy Adames,SFG,0.222,22,65,0.311,0.407,6,0.313,103,0.265,0.184,0.263,0.111
Bryce Harper,PHI,0.263,21,60,0.359,0.5,11,0.367,135,0.293,0.237,0.209,0.121
Isaac Paredes,HOU,0.259,19,50,0.359,0.47,0,0.361,133,0.27,0.211,0.16399999999999998,0.12
Willson Contreras,STL,0.263,19,70,0.345,0.463,4,0.35,127,0.322,0.2,0.25,0.079
Brandon Nimmo,NYM,0.254,20,68,0.325,0.436,12,0.331,115,0.291,0.182,0.215,0.084
Freddie Freeman,LAD,0.301,16,72,0.372,0.487,4,0.368,138,0.363,0.187,0.217,0.09699999999999999
Taylor Ward,LAA,0.231,29,92,0.314,0.479,3,0.339,116,0.264,0.248,0.267,0.10800000000000001
Gleyber Torres,DET,0.262,13,60,0.363,0.4,4,0.338,117,0.286,0.137,0.146,0.132
Trevor Story,BOS,0.261,20,82,0.306,0.429,22,0.318,99,0.332,0.168,0.28,0.052000000000000005
Steven Kwan,CLE,0.275,10,40,0.334,0.386,14,0.316,102,0.284,0.111,0.085,0.08
Hunter Goodman,COL,0.274,25,73,0.324,0.52,1,0.36,118,0.326,0.246,0.263,0.061
Brent Rooker,ATH,0.27,26,74,0.343,0.494,5,0.358,127,0.309,0.225,0.21899999999999997,0.094
Tyler Soderstrom,ATH,0.271,23,74,0.347,0.477,7,0.355,125,0.313,0.206,0.22,0.096
Rafael Devers,- - -,0.252,25,83,0.374,0.463,1,0.361,132,0.31,0.211,0.256,0.154
Spencer Torkelson,DET,0.244,27,69,0.337,0.479,2,0.348,124,0.275,0.235,0.243,0.109
J.T. Realmuto,PHI,0.278,10,45,0.333,0.416,7,0.327,107,0.347,0.138,0.225,0.064
Dansby Swanson,CHC,0.248,18,58,0.298,0.408,10,0.305,96,0.309,0.16,0.268,0.067
Ernie Clement,TOR,0.274,9,40,0.309,0.396,3,0.306,95,0.292,0.122,0.111,0.045
Michael Busch,CHC,0.263,24,74,0.343,0.495,4,0.36,134,0.308,0.232,0.247,0.08900000000000001
Brendan Donovan,STL,0.279,9,45,0.348,0.402,3,0.328,112,0.307,0.123,0.132,0.084
Bryson Stott,PHI,0.25,9,53,0.323,0.376,21,0.309,95,0.287,0.126,0.171,0.09699999999999999
Jonathan Aranda,TBR,0.316,12,54,0.394,0.478,0,0.377,143,0.409,0.162,0.249,0.098
Ben Rice,NYY,0.242,20,47,0.337,0.485,3,0.354,129,0.259,0.242,0.198,0.10400000000000001
TJ Friedl,CIN,0.265,10,40,0.364,0.377,11,0.332,108,0.306,0.113,0.165,0.11199999999999999
Xavier Edwards,MIA,0.295,2,34,0.352,0.369,23,0.319,102,0.343,0.074,0.138,0.081
