Name,Team,AVG,HR,RBI,OBP,SLG,SB,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,0.327,40,92,0.442,0.675,8,0.452,196,0.386,0.348,0.255,0.168
Cal Raleigh,SEA,0.246,47,102,0.353,0.585,14,0.389,158,0.249,0.339,0.272,0.135
Bobby Witt Jr.,KCR,0.294,18,70,0.351,0.498,34,0.359,128,0.336,0.204,0.18899999999999997,0.077
Shohei Ohtani,LAD,0.283,44,83,0.392,0.621,17,0.418,172,0.319,0.338,0.26,0.14800000000000002
Trea Turner,PHI,0.3,13,60,0.354,0.447,32,0.348,122,0.346,0.146,0.168,0.07
Pete Crow-Armstrong,CHC,0.256,28,81,0.297,0.514,30,0.343,122,0.289,0.258,0.24600000000000002,0.044000000000000004
Jose Ramirez,CLE,0.291,26,68,0.365,0.517,36,0.366,137,0.281,0.226,0.10400000000000001,0.098
Corbin Carroll,ARI,0.253,27,65,0.329,0.556,17,0.372,139,0.286,0.302,0.242,0.08900000000000001
Geraldo Perdomo,ARI,0.288,13,81,0.392,0.44,22,0.364,134,0.301,0.152,0.105,0.141
Fernando Tatis Jr.,SDP,0.267,17,52,0.373,0.433,25,0.352,130,0.306,0.167,0.179,0.135
Maikel Garcia,KCR,0.301,12,57,0.364,0.466,22,0.359,128,0.331,0.165,0.134,0.091
Francisco Lindor,NYM,0.265,25,72,0.333,0.464,22,0.343,124,0.288,0.199,0.19,0.075
Ketel Marte,ARI,0.292,23,57,0.392,0.542,3,0.397,156,0.295,0.25,0.14300000000000002,0.131
Jeremy Pena,HOU,0.307,14,49,0.366,0.483,17,0.367,137,0.343,0.176,0.162,0.061
Kyle Schwarber,PHI,0.252,45,109,0.373,0.581,10,0.402,159,0.268,0.329,0.268,0.147
Julio Rodriguez,SEA,0.261,25,71,0.314,0.463,23,0.334,121,0.3,0.202,0.225,0.055999999999999994
Elly De La Cruz,CIN,0.274,19,77,0.348,0.458,31,0.344,116,0.347,0.184,0.254,0.099
Kyle Stowers,MIA,0.288,25,73,0.368,0.544,5,0.387,149,0.356,0.256,0.27399999999999997,0.105
Kyle Tucker,CHC,0.258,19,63,0.371,0.448,25,0.355,131,0.273,0.19,0.14400000000000002,0.14800000000000002
Gunnar Henderson,BAL,0.281,15,57,0.352,0.466,16,0.351,126,0.341,0.185,0.22,0.092
Will Smith,LAD,0.3,15,58,0.406,0.496,2,0.39,153,0.351,0.196,0.20199999999999999,0.145
Byron Buxton,MIN,0.272,25,62,0.334,0.536,19,0.366,135,0.314,0.264,0.264,0.08
Vladimir Guerrero Jr.,TOR,0.298,21,69,0.396,0.498,5,0.385,149,0.319,0.2,0.141,0.13
Juan Soto,NYM,0.251,32,76,0.386,0.5,20,0.377,147,0.259,0.249,0.19699999999999998,0.179
Manny Machado,SDP,0.293,21,78,0.353,0.484,12,0.36,135,0.324,0.191,0.174,0.083
Corey Seager,TEX,0.268,19,47,0.369,0.477,3,0.36,133,0.297,0.208,0.192,0.127
Cody Bellinger,NYY,0.27,24,75,0.323,0.492,11,0.347,124,0.266,0.222,0.129,0.075
Alejandro Kirk,TOR,0.293,10,56,0.353,0.411,1,0.334,114,0.306,0.118,0.10400000000000001,0.086
Masyn Winn,STL,0.258,9,46,0.314,0.378,9,0.305,96,0.302,0.119,0.179,0.064
Jazz Chisholm Jr.,NYY,0.237,22,58,0.333,0.468,22,0.346,123,0.28,0.231,0.282,0.115
Junior Caminero,TBR,0.255,36,87,0.299,0.523,6,0.346,121,0.251,0.268,0.205,0.059000000000000004
Sal Frelick,MIL,0.299,9,50,0.363,0.416,18,0.343,122,0.332,0.117,0.133,0.078
Andy Pages,LAD,0.273,21,71,0.319,0.457,13,0.334,115,0.308,0.185,0.21,0.053
Nico Hoerner,CHC,0.288,4,49,0.337,0.37,23,0.312,101,0.305,0.081,0.075,0.059000000000000004
James Wood,WSN,0.258,26,83,0.355,0.481,15,0.357,130,0.34,0.223,0.304,0.127
Matt Olson,ATL,0.268,19,72,0.364,0.452,1,0.355,128,0.333,0.185,0.242,0.131
Brice Turang,MIL,0.286,14,64,0.352,0.428,21,0.34,120,0.348,0.142,0.218,0.092
William Contreras,MIL,0.258,14,63,0.357,0.398,6,0.333,114,0.296,0.14,0.179,0.133
Eugenio Suarez,- - -,0.238,40,98,0.306,0.548,3,0.359,131,0.246,0.31,0.28,0.062
Zach McKinstry,DET,0.265,11,41,0.34,0.455,19,0.342,120,0.322,0.19,0.222,0.09699999999999999
CJ Abrams,WSN,0.265,16,50,0.329,0.452,26,0.338,116,0.296,0.186,0.17300000000000001,0.062
Jarren Duran,BOS,0.259,12,69,0.334,0.446,21,0.337,112,0.329,0.187,0.23800000000000002,0.085
Shea Langeliers,ATH,0.265,28,60,0.311,0.547,5,0.361,129,0.261,0.282,0.193,0.067
Randy Arozarena,SEA,0.238,23,59,0.339,0.439,24,0.34,124,0.293,0.201,0.265,0.095
Wyatt Langford,TEX,0.244,19,52,0.334,0.432,16,0.333,114,0.304,0.188,0.272,0.114
Xander Bogaerts,SDP,0.263,10,46,0.331,0.39,19,0.314,104,0.296,0.127,0.159,0.091
George Springer,TOR,0.292,21,62,0.383,0.518,13,0.387,151,0.319,0.226,0.184,0.12
Ryan O'Hearn,- - -,0.282,16,53,0.377,0.469,3,0.366,136,0.317,0.187,0.18600000000000003,0.11900000000000001
Riley Greene,DET,0.263,30,94,0.318,0.508,1,0.352,126,0.333,0.245,0.312,0.07200000000000001
Bo Bichette,TOR,0.298,16,82,0.342,0.466,4,0.348,124,0.329,0.168,0.14800000000000002,0.057999999999999996
Matt Chapman,SFG,0.229,16,44,0.337,0.423,7,0.335,118,0.274,0.194,0.248,0.129
Ceddanne Rafaela,BOS,0.248,14,52,0.293,0.418,19,0.307,91,0.28,0.171,0.18899999999999997,0.048
Freddie Freeman,LAD,0.303,16,72,0.374,0.491,4,0.37,139,0.366,0.188,0.21899999999999997,0.09699999999999999
Pete Alonso,NYM,0.262,28,101,0.345,0.506,1,0.362,137,0.293,0.244,0.225,0.094
Zach Neto,LAA,0.265,21,55,0.322,0.475,22,0.34,117,0.32,0.21,0.257,0.057
Jackson Chourio,MIL,0.276,17,67,0.311,0.474,18,0.335,116,0.315,0.198,0.201,0.047
Willy Adames,SFG,0.224,22,65,0.312,0.41,6,0.315,104,0.268,0.186,0.263,0.11
Bryce Harper,PHI,0.263,21,60,0.36,0.503,11,0.368,136,0.294,0.239,0.21,0.122
Isaac Paredes,HOU,0.259,19,50,0.359,0.47,0,0.361,133,0.27,0.211,0.16399999999999998,0.12
Taylor Ward,LAA,0.233,29,92,0.317,0.483,3,0.341,118,0.266,0.25,0.267,0.109
Brandon Nimmo,NYM,0.254,20,68,0.325,0.436,12,0.331,115,0.291,0.182,0.215,0.084
Hunter Goodman,COL,0.277,25,73,0.327,0.525,1,0.363,121,0.326,0.248,0.257,0.061
Brent Rooker,ATH,0.272,26,74,0.345,0.498,5,0.361,129,0.313,0.226,0.22,0.09300000000000001
Willson Contreras,STL,0.263,19,70,0.345,0.463,4,0.351,127,0.322,0.2,0.25,0.079
Steven Kwan,CLE,0.277,10,40,0.336,0.388,14,0.318,104,0.286,0.112,0.086,0.08
Tyler Soderstrom,ATH,0.273,23,74,0.346,0.481,6,0.356,126,0.316,0.208,0.222,0.09300000000000001
Gleyber Torres,DET,0.261,13,60,0.36,0.399,4,0.336,116,0.284,0.138,0.145,0.129
Ernie Clement,TOR,0.277,9,40,0.312,0.401,3,0.309,97,0.295,0.124,0.113,0.046
Rafael Devers,- - -,0.252,25,83,0.373,0.465,1,0.362,132,0.309,0.213,0.255,0.154
J.T. Realmuto,PHI,0.279,10,44,0.333,0.415,7,0.327,108,0.347,0.137,0.225,0.064
