Name,Team,AVG,HR,RBI,OBP,SLG,SB,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,0.333,39,91,0.447,0.687,7,0.458,200,0.394,0.354,0.255,0.168
Cal Raleigh,SEA,0.252,47,102,0.359,0.6,14,0.397,163,0.251,0.348,0.264,0.136
Shohei Ohtani,LAD,0.283,43,80,0.391,0.622,17,0.418,173,0.322,0.34,0.266,0.147
Bobby Witt Jr.,KCR,0.29,17,67,0.348,0.493,32,0.355,125,0.333,0.203,0.19399999999999998,0.077
Pete Crow-Armstrong,CHC,0.261,27,79,0.3,0.522,30,0.348,126,0.294,0.261,0.242,0.042
Jose Ramirez,CLE,0.291,25,64,0.364,0.515,35,0.366,137,0.282,0.225,0.105,0.095
Fernando Tatis Jr.,SDP,0.266,17,50,0.37,0.435,24,0.351,130,0.306,0.169,0.185,0.131
Trea Turner,PHI,0.291,12,52,0.348,0.432,28,0.34,117,0.335,0.141,0.16699999999999998,0.07200000000000001
Corbin Carroll,ARI,0.251,27,64,0.326,0.552,16,0.369,137,0.281,0.301,0.244,0.08800000000000001
Geraldo Perdomo,ARI,0.286,13,79,0.388,0.437,21,0.361,132,0.298,0.152,0.107,0.138
Ketel Marte,ARI,0.297,23,56,0.397,0.555,3,0.405,162,0.296,0.259,0.136,0.132
Jeremy Pena,HOU,0.313,13,45,0.37,0.485,17,0.369,138,0.353,0.172,0.166,0.057
Maikel Garcia,KCR,0.3,11,55,0.362,0.466,22,0.358,127,0.329,0.166,0.13,0.08900000000000001
Francisco Lindor,NYM,0.259,24,71,0.327,0.455,20,0.337,120,0.28,0.196,0.19,0.07400000000000001
Julio Rodriguez,SEA,0.259,24,69,0.314,0.457,23,0.332,119,0.297,0.198,0.22399999999999998,0.057
Kyle Stowers,MIA,0.288,25,73,0.368,0.544,5,0.387,149,0.356,0.256,0.27399999999999997,0.105
Vladimir Guerrero Jr.,TOR,0.3,21,68,0.398,0.5,5,0.386,150,0.32,0.2,0.14,0.131
Byron Buxton,MIN,0.28,25,61,0.34,0.556,18,0.376,143,0.325,0.277,0.26899999999999996,0.079
Kyle Tucker,CHC,0.263,18,62,0.376,0.451,25,0.358,133,0.281,0.188,0.146,0.149
Elly De La Cruz,CIN,0.275,19,76,0.35,0.458,31,0.345,117,0.345,0.182,0.25,0.1
Kyle Schwarber,PHI,0.248,43,102,0.371,0.574,10,0.399,157,0.266,0.326,0.273,0.147
Will Smith,LAD,0.302,15,54,0.408,0.508,2,0.395,157,0.347,0.206,0.19399999999999998,0.15
Juan Soto,NYM,0.251,30,71,0.385,0.495,20,0.375,146,0.259,0.244,0.193,0.17800000000000002
Masyn Winn,STL,0.263,9,46,0.318,0.387,7,0.31,99,0.308,0.124,0.179,0.066
Manny Machado,SDP,0.291,20,72,0.353,0.479,11,0.358,134,0.322,0.188,0.175,0.086
Gunnar Henderson,BAL,0.279,14,55,0.35,0.46,16,0.348,124,0.34,0.181,0.221,0.094
Cody Bellinger,NYY,0.264,22,71,0.318,0.481,10,0.341,119,0.261,0.217,0.129,0.076
Andy Pages,LAD,0.277,20,70,0.322,0.461,12,0.337,117,0.313,0.183,0.207,0.052000000000000005
William Contreras,MIL,0.263,13,61,0.361,0.401,6,0.336,117,0.304,0.138,0.18100000000000002,0.132
Alejandro Kirk,TOR,0.292,9,53,0.352,0.405,1,0.331,112,0.303,0.113,0.09699999999999999,0.087
Nico Hoerner,CHC,0.293,4,48,0.342,0.377,22,0.317,105,0.309,0.084,0.07400000000000001,0.059000000000000004
Junior Caminero,TBR,0.258,35,85,0.298,0.528,5,0.348,123,0.255,0.27,0.209,0.055999999999999994
Corey Seager,TEX,0.258,18,44,0.361,0.464,3,0.352,127,0.286,0.206,0.2,0.131
Jazz Chisholm Jr.,NYY,0.236,21,56,0.333,0.468,21,0.347,124,0.277,0.233,0.278,0.11699999999999999
Randy Arozarena,SEA,0.245,23,58,0.345,0.45,24,0.346,129,0.301,0.206,0.266,0.095
CJ Abrams,WSN,0.27,16,49,0.332,0.463,26,0.343,120,0.301,0.193,0.175,0.062
Jarren Duran,BOS,0.263,12,66,0.338,0.454,20,0.342,115,0.334,0.191,0.23800000000000002,0.084
Pete Alonso,NYM,0.268,28,100,0.352,0.519,1,0.37,143,0.301,0.251,0.22899999999999998,0.095
James Wood,WSN,0.258,25,80,0.355,0.479,15,0.357,130,0.337,0.221,0.299,0.127
Matt Olson,ATL,0.264,19,72,0.364,0.449,1,0.354,128,0.326,0.186,0.24100000000000002,0.135
