Name,Team,G,AB,R,H,HR,RBI,SB,BB,SO,AVG,OBP,SLG,OPS,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,102,374,90,129,37,84,6,73,119,0.345,0.453,0.717,1.169,0.473,211,0.414,0.372,0.262,0.16
Cal Raleigh,SEA,99,367,68,94,39,84,11,63,108,0.256,0.37,0.619,0.988,0.408,172,0.247,0.362,0.247,0.14400000000000002
Pete Crow-Armstrong,CHC,100,393,69,106,27,74,28,18,98,0.27,0.305,0.56,0.864,0.365,138,0.292,0.29,0.233,0.043
Bobby Witt Jr.,KCR,102,403,60,116,14,56,27,31,84,0.288,0.339,0.489,0.827,0.35,122,0.328,0.201,0.19,0.07
Shohei Ohtani,LAD,101,395,97,108,37,70,13,64,119,0.273,0.377,0.62,0.997,0.412,169,0.295,0.347,0.256,0.138
Jose Ramirez,CLE,98,367,62,108,21,56,30,41,46,0.294,0.368,0.529,0.897,0.374,143,0.285,0.234,0.11,0.098
Byron Buxton,MIN,83,320,68,92,23,58,17,29,95,0.288,0.35,0.572,0.922,0.388,152,0.335,0.284,0.266,0.081
Corbin Carroll,ARI,86,348,66,87,21,50,13,32,98,0.25,0.325,0.557,0.882,0.372,140,0.287,0.307,0.253,0.08199999999999999
Kyle Tucker,CHC,100,371,71,102,18,57,23,65,62,0.275,0.383,0.493,0.876,0.375,145,0.286,0.218,0.14,0.147
Jeremy Pena,HOU,82,317,48,102,11,40,15,20,55,0.322,0.378,0.489,0.867,0.376,144,0.36,0.167,0.157,0.057
Fernando Tatis Jr.,SDP,100,378,67,99,16,42,22,55,79,0.262,0.361,0.437,0.797,0.346,126,0.292,0.175,0.18,0.126
Trea Turner,PHI,100,411,66,119,11,41,25,32,74,0.29,0.345,0.428,0.773,0.338,115,0.329,0.139,0.165,0.071
Will Smith,LAD,80,266,51,86,14,48,2,47,57,0.323,0.424,0.549,0.973,0.416,172,0.36,0.226,0.17800000000000002,0.146
Geraldo Perdomo,ARI,102,375,56,106,10,72,15,59,51,0.283,0.381,0.432,0.813,0.357,129,0.297,0.149,0.113,0.131
James Wood,WSN,101,379,61,103,24,70,14,62,124,0.272,0.374,0.517,0.892,0.379,145,0.338,0.245,0.278,0.139
Kyle Stowers,MIA,97,325,49,96,22,61,4,37,104,0.295,0.373,0.566,0.939,0.398,157,0.366,0.271,0.28,0.1
Elly De La Cruz,CIN,103,391,77,108,18,65,27,48,108,0.276,0.357,0.478,0.836,0.357,125,0.338,0.202,0.244,0.109
Andy Pages,LAD,99,370,48,105,19,63,8,20,84,0.284,0.328,0.486,0.814,0.35,126,0.317,0.203,0.21,0.05
Alejandro Kirk,TOR,86,306,27,93,7,46,0,29,33,0.304,0.362,0.412,0.774,0.338,117,0.319,0.108,0.09699999999999999,0.085
Francisco Lindor,NYM,101,408,65,101,19,57,16,33,83,0.248,0.315,0.431,0.746,0.323,111,0.263,0.184,0.182,0.07200000000000001
Eugenio Suarez,ARI,101,369,64,93,36,86,1,29,110,0.252,0.325,0.593,0.918,0.385,149,0.25,0.341,0.264,0.07
Cody Bellinger,NYY,93,362,58,103,18,57,9,29,54,0.285,0.335,0.506,0.841,0.358,132,0.288,0.221,0.136,0.073
Ceddanne Rafaela,BOS,98,340,58,92,14,48,14,17,68,0.271,0.312,0.468,0.78,0.336,111,0.301,0.197,0.18600000000000003,0.047
Kyle Schwarber,PHI,102,376,72,94,34,78,9,68,120,0.25,0.376,0.564,0.94,0.399,157,0.27,0.314,0.265,0.15
Matt Olson,ATL,101,381,57,102,18,64,0,62,105,0.268,0.371,0.475,0.846,0.367,137,0.322,0.207,0.23399999999999999,0.138
Juan Soto,NYM,102,360,72,91,24,59,13,82,84,0.253,0.389,0.494,0.884,0.378,149,0.262,0.242,0.188,0.183
Masyn Winn,STL,91,350,57,94,7,34,6,27,67,0.269,0.325,0.386,0.71,0.313,102,0.313,0.117,0.175,0.07
Manny Machado,SDP,102,390,60,111,18,61,8,39,75,0.285,0.346,0.485,0.83,0.356,133,0.308,0.2,0.17300000000000001,0.09
Matt Chapman,SFG,79,284,47,69,14,38,7,44,80,0.243,0.352,0.447,0.8,0.351,129,0.289,0.204,0.24100000000000002,0.133
Pete Alonso,NYM,103,382,54,104,22,80,1,47,104,0.272,0.366,0.518,0.885,0.378,149,0.315,0.246,0.23399999999999999,0.106
Isaac Paredes,HOU,94,351,51,91,19,50,0,49,67,0.259,0.359,0.47,0.829,0.362,134,0.27,0.211,0.16399999999999998,0.12
Randy Arozarena,SEA,100,371,56,92,18,49,16,45,118,0.248,0.353,0.461,0.814,0.354,135,0.311,0.213,0.271,0.10300000000000001
CJ Abrams,WSN,88,352,63,97,13,37,20,25,65,0.276,0.339,0.472,0.811,0.35,126,0.304,0.196,0.16699999999999998,0.064
Riley Greene,DET,100,387,54,107,25,79,1,27,135,0.276,0.325,0.53,0.855,0.364,136,0.358,0.253,0.32299999999999995,0.065
Zach McKinstry,DET,94,307,49,84,8,32,16,36,72,0.274,0.353,0.45,0.803,0.348,124,0.329,0.176,0.205,0.102
Xander Bogaerts,SDP,100,355,43,95,6,35,16,43,63,0.268,0.344,0.38,0.724,0.318,108,0.306,0.113,0.156,0.106
Julio Rodriguez,SEA,101,416,65,105,14,51,19,30,103,0.252,0.314,0.409,0.722,0.316,108,0.302,0.156,0.226,0.066
Michael Busch,CHC,96,317,48,90,20,60,4,37,84,0.284,0.371,0.539,0.911,0.391,156,0.329,0.256,0.233,0.102
Gunnar Henderson,BAL,94,357,51,98,11,35,13,35,92,0.275,0.342,0.451,0.793,0.341,121,0.341,0.176,0.233,0.08900000000000001
Maikel Garcia,KCR,101,375,44,109,8,41,19,32,54,0.291,0.345,0.44,0.785,0.342,116,0.32,0.149,0.13,0.077
Sal Frelick,MIL,93,344,46,101,7,39,17,26,49,0.294,0.354,0.404,0.758,0.335,116,0.324,0.11,0.127,0.068
Junior Caminero,TBR,97,381,59,100,26,68,5,23,82,0.262,0.304,0.52,0.824,0.349,124,0.266,0.257,0.2,0.055999999999999994
Jacob Wilson,ATH,93,366,46,114,10,44,5,20,30,0.311,0.353,0.44,0.793,0.346,119,0.318,0.128,0.077,0.051
Jake Meyers,HOU,89,289,47,89,3,21,14,27,58,0.308,0.369,0.405,0.774,0.342,120,0.374,0.097,0.18,0.084
Nico Hoerner,CHC,98,374,53,107,3,41,19,21,30,0.286,0.333,0.374,0.707,0.312,101,0.303,0.088,0.07400000000000001,0.052000000000000005
Vladimir Guerrero Jr.,TOR,100,372,64,106,13,50,5,60,62,0.285,0.391,0.444,0.834,0.364,135,0.311,0.159,0.141,0.136
Gleyber Torres,DET,90,322,52,91,9,45,4,54,51,0.283,0.387,0.419,0.806,0.358,131,0.307,0.137,0.132,0.14
Brandon Nimmo,NYM,99,368,51,97,19,57,11,32,79,0.264,0.33,0.467,0.797,0.344,126,0.286,0.204,0.193,0.078
J.P. Crawford,SEA,99,369,45,103,7,38,5,56,77,0.279,0.378,0.379,0.757,0.34,125,0.336,0.1,0.177,0.129
Steven Kwan,CLE,95,372,45,106,6,33,11,37,35,0.285,0.349,0.392,0.742,0.326,110,0.297,0.108,0.084,0.08800000000000001
Jonathan Aranda,TBR,96,333,50,106,11,51,0,37,92,0.318,0.397,0.48,0.878,0.381,147,0.409,0.162,0.242,0.09699999999999999
Brendan Donovan,STL,95,367,52,107,8,39,3,35,55,0.292,0.361,0.422,0.783,0.342,122,0.321,0.131,0.133,0.085
Bryce Harper,PHI,74,277,46,75,14,42,9,45,67,0.271,0.378,0.502,0.88,0.379,144,0.308,0.231,0.204,0.13699999999999998
George Springer,TOR,96,322,60,91,17,55,12,49,72,0.283,0.377,0.5,0.877,0.378,144,0.312,0.217,0.188,0.128
Rafael Devers,- - -,104,387,61,102,19,73,1,74,118,0.264,0.385,0.475,0.861,0.37,137,0.327,0.212,0.251,0.157
Brent Rooker,ATH,104,403,64,111,21,56,3,45,101,0.275,0.351,0.504,0.855,0.367,133,0.32,0.228,0.22399999999999998,0.1
Trent Grisham,NYY,85,286,48,73,17,38,0,44,72,0.255,0.356,0.472,0.829,0.362,134,0.284,0.217,0.218,0.133
Ryan O'Hearn,BAL,88,292,40,82,12,37,3,40,56,0.281,0.374,0.452,0.826,0.359,133,0.308,0.171,0.165,0.11800000000000001
Jackson Chourio,MIL,101,427,68,115,16,65,18,19,92,0.269,0.302,0.457,0.758,0.326,110,0.307,0.187,0.204,0.042
Dansby Swanson,CHC,101,389,59,99,16,47,8,30,114,0.254,0.305,0.422,0.727,0.314,103,0.316,0.167,0.26899999999999996,0.071
Ernie Clement,TOR,100,338,47,95,4,27,3,20,35,0.281,0.32,0.382,0.701,0.306,95,0.3,0.101,0.095,0.054000000000000006
Willson Contreras,STL,97,360,49,93,13,57,4,32,103,0.258,0.341,0.439,0.78,0.341,121,0.325,0.181,0.252,0.078
TJ Friedl,CIN,99,373,59,99,9,33,10,48,68,0.265,0.365,0.389,0.753,0.337,112,0.301,0.123,0.155,0.109
Willy Adames,SFG,102,376,60,86,15,53,4,48,113,0.229,0.316,0.402,0.718,0.314,104,0.28,0.173,0.26,0.111
Otto Lopez,MIA,85,318,43,79,11,52,10,33,50,0.248,0.322,0.387,0.709,0.312,98,0.264,0.138,0.141,0.09300000000000001
Hunter Goodman,COL,90,342,48,96,18,56,1,21,100,0.281,0.327,0.515,0.842,0.36,119,0.347,0.234,0.272,0.057
Freddie Freeman,LAD,90,336,49,99,10,51,2,37,85,0.295,0.368,0.47,0.839,0.36,133,0.365,0.176,0.22399999999999998,0.09699999999999999
Taylor Ward,LAA,100,383,56,89,23,76,2,43,115,0.232,0.309,0.488,0.797,0.339,117,0.263,0.256,0.265,0.099
Zach Neto,LAA,83,333,65,91,15,35,18,19,93,0.273,0.323,0.471,0.795,0.342,118,0.336,0.198,0.259,0.053
Bo Bichette,TOR,99,417,48,117,13,59,4,23,72,0.281,0.321,0.448,0.77,0.332,113,0.311,0.168,0.162,0.052000000000000005
Austin Riley,ATL,93,379,51,104,14,48,2,25,113,0.274,0.324,0.441,0.764,0.332,112,0.356,0.166,0.27699999999999997,0.061
Oneil Cruz,PIT,91,329,51,72,16,40,33,48,123,0.219,0.319,0.419,0.739,0.319,102,0.287,0.201,0.319,0.125
Seiya Suzuki,CHC,98,391,54,100,26,81,3,35,114,0.256,0.313,0.532,0.845,0.357,132,0.289,0.276,0.265,0.081
Spencer Torkelson,DET,97,347,57,83,21,59,1,46,98,0.239,0.339,0.487,0.826,0.352,127,0.266,0.248,0.24100000000000002,0.113
Yandy Diaz,TBR,97,390,50,113,17,60,3,34,60,0.29,0.35,0.474,0.824,0.354,128,0.303,0.185,0.139,0.079
Josh Smith,TEX,90,316,49,87,8,25,9,34,58,0.275,0.352,0.411,0.764,0.335,116,0.315,0.136,0.162,0.095
Wyatt Langford,TEX,82,312,43,72,15,38,15,36,98,0.231,0.312,0.41,0.722,0.314,102,0.282,0.179,0.278,0.102
Brice Turang,MIL,98,369,62,103,6,42,18,41,90,0.279,0.349,0.371,0.721,0.32,106,0.35,0.092,0.21600000000000003,0.099
William Contreras,MIL,96,356,50,88,6,42,5,57,80,0.247,0.349,0.348,0.698,0.312,100,0.299,0.101,0.191,0.136
Lawrence Butler,ATH,99,387,56,93,14,41,16,41,122,0.24,0.313,0.421,0.734,0.321,102,0.315,0.181,0.285,0.096
Marcus Semien,TEX,102,373,49,85,13,50,8,42,80,0.228,0.307,0.367,0.674,0.298,91,0.252,0.139,0.18899999999999997,0.099
Jose Altuve,HOU,98,378,55,106,17,53,6,36,67,0.28,0.34,0.466,0.806,0.345,123,0.298,0.185,0.16,0.086
Jarren Duran,BOS,102,414,56,105,9,52,16,35,112,0.254,0.321,0.428,0.748,0.326,104,0.325,0.174,0.244,0.076
Victor Scott II,STL,96,300,43,69,5,33,25,30,89,0.23,0.315,0.323,0.638,0.289,85,0.308,0.093,0.258,0.087
Xavier Edwards,MIA,85,342,45,100,1,26,17,35,53,0.292,0.358,0.36,0.718,0.319,103,0.341,0.067,0.138,0.091
Trevor Story,BOS,100,385,51,97,15,60,17,19,114,0.252,0.292,0.405,0.698,0.304,89,0.32,0.153,0.27899999999999997,0.047
Josh Naylor,ARI,93,349,49,102,11,59,11,37,49,0.292,0.36,0.447,0.807,0.348,123,0.311,0.155,0.124,0.094
Ben Rice,NYY,84,280,45,65,15,32,3,29,66,0.232,0.323,0.468,0.791,0.343,121,0.25,0.236,0.20600000000000002,0.091
Willi Castro,MIN,80,280,45,72,10,27,8,31,79,0.257,0.346,0.429,0.774,0.34,118,0.325,0.171,0.248,0.09699999999999999
Nolan Schanuel,LAA,98,364,48,100,8,41,4,46,50,0.275,0.365,0.398,0.764,0.337,115,0.299,0.124,0.11800000000000001,0.109
Ryan McMahon,COL,100,350,42,76,16,35,2,49,127,0.217,0.314,0.403,0.717,0.315,89,0.288,0.186,0.317,0.122
Alec Bohm,PHI,92,353,39,98,8,42,2,22,62,0.278,0.324,0.391,0.715,0.314,99,0.314,0.113,0.162,0.057
J.T. Realmuto,PHI,84,320,37,86,6,34,6,23,84,0.269,0.322,0.388,0.709,0.312,97,0.348,0.119,0.243,0.067
Jung Hoo Lee,SFG,97,366,50,90,6,41,6,33,45,0.246,0.312,0.393,0.705,0.308,100,0.263,0.148,0.111,0.081
Alec Burleson,STL,91,310,33,90,12,44,4,25,44,0.29,0.342,0.461,0.803,0.347,125,0.304,0.171,0.129,0.073
Brandon Lowe,TBR,86,323,55,87,19,50,3,24,89,0.269,0.32,0.48,0.8,0.344,121,0.313,0.211,0.254,0.069
Paul Goldschmidt,NYY,95,347,57,100,8,37,5,29,66,0.288,0.346,0.429,0.775,0.335,116,0.336,0.141,0.17300000000000001,0.076
Jackson Holliday,BAL,94,372,44,97,14,41,9,23,96,0.261,0.313,0.422,0.735,0.321,106,0.317,0.161,0.24,0.057999999999999996
Cam Smith,HOU,88,317,39,84,7,42,5,28,97,0.265,0.332,0.397,0.73,0.322,107,0.362,0.132,0.278,0.08
Mookie Betts,LAD,94,370,59,88,11,45,6,38,46,0.238,0.309,0.37,0.679,0.299,91,0.243,0.132,0.111,0.092
Mike Trout,LAA,76,270,40,64,18,45,2,50,92,0.237,0.359,0.467,0.825,0.351,125,0.279,0.23,0.28,0.152
Christian Yelich,MIL,96,365,51,95,19,66,15,37,111,0.26,0.336,0.447,0.782,0.34,120,0.322,0.186,0.272,0.091
Tyler Soderstrom,ATH,103,371,51,95,18,57,6,37,96,0.256,0.33,0.447,0.778,0.338,113,0.297,0.191,0.231,0.08900000000000001
Mike Yastrzemski,SFG,92,306,37,72,8,28,6,45,81,0.235,0.334,0.366,0.7,0.31,100,0.294,0.131,0.22899999999999998,0.127
Matt McLain,CIN,93,336,49,74,11,35,14,37,101,0.22,0.306,0.351,0.657,0.295,82,0.28,0.131,0.266,0.09699999999999999
Jo Adell,LAA,95,316,38,75,21,58,3,24,86,0.237,0.309,0.478,0.786,0.34,117,0.257,0.241,0.245,0.068
Jordan Beck,COL,90,336,45,92,11,34,11,23,102,0.274,0.325,0.458,0.783,0.339,105,0.362,0.185,0.281,0.063
Rhys Hoskins,MIL,82,269,30,65,12,42,2,38,85,0.242,0.34,0.428,0.767,0.333,115,0.298,0.186,0.267,0.11900000000000001
Lars Nootbaar,STL,88,331,50,75,12,37,4,48,83,0.227,0.332,0.381,0.712,0.316,104,0.265,0.154,0.215,0.124
Carlos Correa,MIN,88,319,40,85,7,31,0,25,65,0.266,0.319,0.392,0.711,0.312,99,0.315,0.125,0.188,0.07200000000000001
Miguel Vargas,CHW,99,363,53,81,12,40,4,39,70,0.223,0.306,0.402,0.708,0.311,98,0.244,0.179,0.171,0.095
Bryson Stott,PHI,91,324,40,75,7,39,15,33,59,0.231,0.303,0.34,0.642,0.287,80,0.262,0.108,0.163,0.091
Chase Meidroth,CHW,77,288,32,72,2,14,11,32,43,0.25,0.33,0.309,0.639,0.292,84,0.287,0.059,0.132,0.098
Ke'Bryan Hayes,PIT,95,350,34,85,2,34,10,18,78,0.243,0.288,0.3,0.588,0.262,63,0.307,0.057,0.209,0.048
Heliot Ramos,SFG,101,389,53,104,14,50,5,34,105,0.267,0.34,0.429,0.769,0.335,118,0.326,0.162,0.23800000000000002,0.077
Salvador Perez,KCR,98,380,33,97,18,62,0,19,77,0.255,0.299,0.466,0.765,0.326,105,0.276,0.211,0.18899999999999997,0.047
Jesus Sanchez,MIA,81,286,38,75,9,34,9,27,66,0.262,0.326,0.423,0.749,0.325,107,0.31,0.161,0.209,0.085
Nolan Arenado,STL,90,340,41,82,10,43,2,26,36,0.241,0.299,0.379,0.679,0.294,89,0.243,0.138,0.09699999999999999,0.07
Vinnie Pasquantino,KCR,101,391,41,105,17,61,1,30,72,0.269,0.327,0.442,0.77,0.333,110,0.289,0.174,0.168,0.07
Ian Happ,CHC,92,369,56,83,13,48,4,53,95,0.225,0.322,0.374,0.696,0.31,100,0.265,0.149,0.223,0.124
Anthony Volpe,NYY,101,360,43,77,13,54,10,35,95,0.214,0.286,0.4,0.686,0.298,90,0.248,0.186,0.23399999999999999,0.086
Marcell Ozuna,ATL,93,324,37,76,13,42,0,64,90,0.235,0.36,0.389,0.749,0.334,114,0.28,0.154,0.228,0.162
Gavin Sheets,SDP,98,339,37,86,14,51,1,29,72,0.254,0.316,0.428,0.743,0.323,110,0.281,0.174,0.193,0.078
Adolis Garcia,TEX,98,364,37,83,14,57,10,20,102,0.228,0.271,0.398,0.669,0.289,84,0.271,0.17,0.258,0.051
Jasson Dominguez,NYY,84,288,44,73,9,35,14,33,94,0.253,0.328,0.406,0.734,0.322,107,0.339,0.153,0.28800000000000003,0.10099999999999999
