Name,Team,AVG,HR,RBI,OBP,SLG,SB,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,0.333,38,88,0.444,0.687,7,0.457,199,0.398,0.353,0.261,0.163
Cal Raleigh,SEA,0.243,45,98,0.349,0.582,13,0.386,156,0.24,0.339,0.27,0.132
Shohei Ohtani,LAD,0.284,43,79,0.391,0.63,17,0.42,174,0.322,0.346,0.26899999999999996,0.145
Bobby Witt Jr.,KCR,0.288,17,67,0.346,0.494,30,0.355,125,0.33,0.205,0.192,0.077
Pete Crow-Armstrong,CHC,0.254,27,78,0.291,0.518,30,0.341,122,0.283,0.263,0.243,0.040999999999999995
Jose Ramirez,CLE,0.294,25,63,0.367,0.526,33,0.372,141,0.283,0.232,0.102,0.096
Fernando Tatis Jr.,SDP,0.266,17,49,0.37,0.435,24,0.35,129,0.304,0.169,0.182,0.131
Geraldo Perdomo,ARI,0.286,13,79,0.386,0.443,19,0.363,133,0.298,0.157,0.109,0.135
Trea Turner,PHI,0.281,12,52,0.338,0.425,26,0.333,112,0.323,0.144,0.16899999999999998,0.073
Corbin Carroll,ARI,0.248,26,62,0.32,0.55,14,0.365,135,0.278,0.302,0.247,0.083
Jeremy Pena,HOU,0.318,13,45,0.373,0.492,17,0.374,142,0.355,0.174,0.161,0.055
Ketel Marte,ARI,0.297,23,54,0.398,0.558,3,0.406,162,0.295,0.261,0.14,0.132
Maikel Garcia,KCR,0.302,11,51,0.365,0.469,22,0.361,129,0.33,0.168,0.13,0.091
Byron Buxton,MIN,0.283,24,60,0.346,0.565,17,0.382,146,0.329,0.283,0.26899999999999996,0.08199999999999999
Kyle Tucker,CHC,0.267,18,62,0.38,0.461,24,0.363,137,0.284,0.194,0.14400000000000002,0.15
Will Smith,LAD,0.312,15,54,0.416,0.524,2,0.404,163,0.355,0.212,0.187,0.149
Elly De La Cruz,CIN,0.277,19,74,0.35,0.462,31,0.347,119,0.347,0.185,0.251,0.099
Julio Rodriguez,SEA,0.258,23,65,0.314,0.452,23,0.33,118,0.295,0.194,0.221,0.059000000000000004
Kyle Schwarber,PHI,0.249,42,97,0.372,0.578,10,0.401,159,0.267,0.328,0.273,0.147
Kyle Stowers,MIA,0.286,25,72,0.365,0.541,5,0.384,147,0.352,0.255,0.27699999999999997,0.10300000000000001
Vladimir Guerrero Jr.,TOR,0.299,19,65,0.398,0.49,5,0.383,148,0.32,0.191,0.136,0.131
Manny Machado,SDP,0.296,20,72,0.358,0.489,11,0.364,139,0.326,0.193,0.171,0.087
Gunnar Henderson,BAL,0.284,14,50,0.353,0.468,16,0.353,128,0.348,0.184,0.223,0.091
Masyn Winn,STL,0.264,8,42,0.319,0.382,7,0.308,99,0.308,0.118,0.174,0.066
Juan Soto,NYM,0.251,29,69,0.383,0.495,18,0.374,146,0.26,0.244,0.19399999999999998,0.175
Francisco Lindor,NYM,0.245,21,64,0.317,0.426,18,0.322,110,0.268,0.18,0.19399999999999998,0.076
Cody Bellinger,NYY,0.27,22,69,0.325,0.491,10,0.348,124,0.268,0.221,0.13,0.078
Pete Alonso,NYM,0.272,28,98,0.356,0.53,1,0.375,147,0.3,0.258,0.222,0.096
Junior Caminero,TBR,0.262,34,84,0.3,0.532,5,0.35,125,0.259,0.27,0.204,0.053
James Wood,WSN,0.261,25,78,0.358,0.486,15,0.36,132,0.336,0.225,0.293,0.128
Corey Seager,TEX,0.26,17,43,0.365,0.461,3,0.352,127,0.29,0.201,0.19899999999999998,0.133
Randy Arozarena,SEA,0.248,23,57,0.348,0.462,23,0.352,132,0.303,0.214,0.265,0.09699999999999999
William Contreras,MIL,0.262,12,59,0.362,0.396,5,0.334,116,0.304,0.133,0.18,0.134
Alejandro Kirk,TOR,0.294,7,48,0.354,0.394,0,0.328,111,0.31,0.1,0.098,0.087
Matt Olson,ATL,0.262,19,71,0.364,0.452,0,0.355,129,0.321,0.19,0.237,0.136
Jarren Duran,BOS,0.263,12,65,0.334,0.453,19,0.34,113,0.334,0.19,0.24,0.08199999999999999
Andy Pages,LAD,0.278,19,69,0.321,0.458,11,0.335,115,0.315,0.18,0.207,0.049
Xander Bogaerts,SDP,0.268,10,43,0.337,0.4,19,0.321,109,0.3,0.132,0.156,0.096
Ceddanne Rafaela,BOS,0.259,14,52,0.3,0.436,18,0.318,98,0.293,0.177,0.19,0.046
CJ Abrams,WSN,0.266,16,47,0.331,0.46,26,0.341,119,0.293,0.194,0.16899999999999998,0.063
Sal Frelick,MIL,0.296,9,47,0.358,0.416,18,0.34,120,0.325,0.119,0.129,0.07400000000000001
Matt Chapman,SFG,0.229,16,44,0.337,0.423,7,0.335,118,0.274,0.194,0.248,0.129
Nico Hoerner,CHC,0.291,4,47,0.338,0.375,21,0.315,103,0.308,0.085,0.076,0.057
Eugenio Suarez,- - -,0.234,37,92,0.305,0.538,3,0.355,128,0.24,0.304,0.276,0.066
Bo Bichette,TOR,0.296,16,78,0.338,0.466,4,0.346,123,0.325,0.17,0.15,0.055999999999999994
Taylor Ward,LAA,0.236,29,90,0.318,0.496,3,0.346,121,0.266,0.26,0.26899999999999996,0.107
Zach Neto,LAA,0.269,19,50,0.327,0.477,21,0.343,119,0.326,0.207,0.255,0.061
Jackson Chourio,MIL,0.276,17,67,0.311,0.474,18,0.335,116,0.315,0.198,0.201,0.047
Isaac Paredes,HOU,0.259,19,50,0.359,0.47,0,0.361,133,0.27,0.211,0.16399999999999998,0.12
Wilyer Abreu,BOS,0.254,21,67,0.328,0.485,6,0.345,117,0.282,0.231,0.23399999999999999,0.10099999999999999
Zach McKinstry,DET,0.263,10,39,0.342,0.445,17,0.34,118,0.324,0.181,0.226,0.1
Ernie Clement,TOR,0.286,9,39,0.32,0.415,3,0.318,103,0.304,0.129,0.111,0.046
Riley Greene,DET,0.269,27,87,0.316,0.508,1,0.351,126,0.35,0.239,0.322,0.061
TJ Friedl,CIN,0.273,10,39,0.374,0.395,11,0.343,116,0.316,0.121,0.16399999999999998,0.11199999999999999
Steven Kwan,CLE,0.275,10,40,0.335,0.392,11,0.319,105,0.283,0.118,0.08800000000000001,0.08199999999999999
George Springer,TOR,0.291,18,57,0.383,0.506,12,0.383,148,0.323,0.215,0.18600000000000003,0.125
Hunter Goodman,COL,0.276,24,68,0.323,0.528,1,0.362,120,0.328,0.251,0.265,0.059000000000000004
Brandon Nimmo,NYM,0.251,20,66,0.323,0.439,12,0.331,116,0.284,0.189,0.21600000000000003,0.084
Brice Turang,MIL,0.275,12,56,0.342,0.407,21,0.328,111,0.336,0.132,0.221,0.09300000000000001
Xavier Edwards,MIA,0.305,2,34,0.363,0.383,22,0.329,109,0.354,0.077,0.136,0.083
Brent Rooker,ATH,0.272,24,70,0.345,0.494,5,0.36,129,0.315,0.222,0.221,0.094
Ryan O'Hearn,- - -,0.275,14,47,0.371,0.453,3,0.357,130,0.306,0.178,0.177,0.121
Jacob Wilson,ATH,0.312,10,45,0.354,0.439,5,0.346,120,0.319,0.127,0.078,0.053
Gleyber Torres,DET,0.265,13,57,0.362,0.41,4,0.341,119,0.285,0.145,0.14300000000000002,0.128
Wyatt Langford,TEX,0.239,16,48,0.325,0.412,15,0.321,106,0.298,0.173,0.26899999999999996,0.11
Willy Adames,SFG,0.223,18,61,0.309,0.393,4,0.307,99,0.272,0.17,0.261,0.107
Jonathan Aranda,TBR,0.316,12,54,0.394,0.478,0,0.378,144,0.409,0.162,0.249,0.098
Freddie Freeman,LAD,0.3,14,66,0.372,0.48,3,0.365,136,0.367,0.18,0.22399999999999998,0.098
Michael Busch,CHC,0.264,23,67,0.347,0.504,4,0.366,138,0.303,0.24,0.24,0.09300000000000001
Rafael Devers,- - -,0.256,23,81,0.378,0.467,1,0.364,134,0.314,0.211,0.253,0.156
Brendan Donovan,STL,0.279,9,45,0.348,0.402,3,0.328,112,0.307,0.123,0.132,0.084
Bryce Harper,PHI,0.256,18,50,0.356,0.49,10,0.362,132,0.292,0.233,0.218,0.124
Willson Contreras,STL,0.255,16,65,0.344,0.443,4,0.343,123,0.316,0.187,0.24600000000000002,0.083
J.P. Crawford,SEA,0.266,9,44,0.359,0.367,7,0.326,115,0.319,0.101,0.183,0.12
Josh Naylor,- - -,0.291,15,69,0.358,0.46,22,0.352,126,0.311,0.169,0.139,0.091
Jose Altuve,HOU,0.283,21,63,0.348,0.469,8,0.35,126,0.299,0.185,0.156,0.09
Spencer Torkelson,DET,0.242,26,66,0.33,0.483,2,0.346,122,0.272,0.242,0.252,0.10099999999999999
Trent Grisham,NYY,0.244,21,46,0.346,0.455,1,0.35,126,0.264,0.21,0.20800000000000002,0.13
Jake Cronenworth,SDP,0.248,9,43,0.361,0.394,2,0.337,120,0.297,0.145,0.203,0.125
Dansby Swanson,CHC,0.251,18,55,0.298,0.412,10,0.307,98,0.313,0.161,0.275,0.066
Seiya Suzuki,CHC,0.249,27,85,0.318,0.502,3,0.348,126,0.285,0.253,0.26,0.096
Tyler Soderstrom,ATH,0.262,22,71,0.333,0.469,6,0.346,120,0.302,0.207,0.22699999999999998,0.08800000000000001
Jung Hoo Lee,SFG,0.257,6,46,0.322,0.407,8,0.317,106,0.277,0.15,0.106,0.079
Trevor Story,BOS,0.256,18,75,0.301,0.419,20,0.313,95,0.33,0.163,0.28800000000000003,0.051
Otto Lopez,MIA,0.241,11,56,0.313,0.367,11,0.3,89,0.262,0.126,0.146,0.08800000000000001
Christian Yelich,MIL,0.266,23,81,0.344,0.456,15,0.347,124,0.329,0.19,0.268,0.09699999999999999
Josh Smith,TEX,0.266,9,30,0.34,0.398,9,0.325,108,0.306,0.133,0.16699999999999998,0.09
Jackson Merrill,SDP,0.263,9,51,0.32,0.416,1,0.318,107,0.314,0.153,0.213,0.07400000000000001
Yandy Diaz,TBR,0.28,20,67,0.343,0.464,3,0.347,123,0.294,0.184,0.14800000000000002,0.079
Lawrence Butler,ATH,0.233,16,47,0.307,0.41,17,0.313,97,0.305,0.176,0.287,0.096
J.T. Realmuto,PHI,0.271,7,39,0.323,0.39,6,0.313,98,0.345,0.119,0.23399999999999999,0.064
Ryan McMahon,- - -,0.221,16,41,0.32,0.39,2,0.314,89,0.299,0.169,0.312,0.125
Oneil Cruz,PIT,0.207,18,51,0.304,0.398,34,0.304,92,0.269,0.191,0.319,0.11900000000000001
Victor Scott II,STL,0.221,5,33,0.309,0.308,31,0.281,80,0.293,0.087,0.249,0.09300000000000001
Brandon Lowe,TBR,0.275,24,59,0.323,0.503,3,0.352,127,0.313,0.227,0.249,0.067
Marcell Ozuna,ATL,0.24,20,59,0.369,0.431,0,0.352,126,0.271,0.191,0.221,0.16899999999999998
Ben Rice,NYY,0.233,17,38,0.326,0.456,3,0.34,118,0.248,0.224,0.19399999999999998,0.1
Austin Riley,ATL,0.26,16,54,0.309,0.428,2,0.319,104,0.337,0.168,0.28600000000000003,0.06
Carlos Correa,- - -,0.278,9,38,0.332,0.404,0,0.323,106,0.327,0.126,0.184,0.075
Bryson Stott,PHI,0.241,7,47,0.315,0.352,19,0.297,87,0.28,0.111,0.17300000000000001,0.096
Ryan Jeffers,MIN,0.265,8,40,0.354,0.405,0,0.336,115,0.32,0.14,0.196,0.102
Mookie Betts,LAD,0.244,12,55,0.314,0.37,8,0.3,91,0.251,0.126,0.11,0.09
Marcus Semien,TEX,0.222,13,57,0.297,0.347,11,0.285,81,0.244,0.124,0.17600000000000002,0.094
Mike Trout,LAA,0.238,20,52,0.366,0.454,2,0.35,124,0.304,0.216,0.303,0.159
Lenyn Sosa,CHW,0.273,14,48,0.302,0.434,2,0.318,102,0.32,0.161,0.21899999999999997,0.033
Kyle Manzardo,CLE,0.242,21,53,0.322,0.486,1,0.345,123,0.271,0.245,0.255,0.096
Jordan Beck,COL,0.276,14,42,0.343,0.458,13,0.347,110,0.363,0.182,0.275,0.083
Nolan Schanuel,LAA,0.265,10,49,0.354,0.387,5,0.327,108,0.288,0.121,0.125,0.105
Alec Bohm,PHI,0.278,8,42,0.324,0.391,2,0.313,98,0.314,0.113,0.162,0.057
Anthony Volpe,NYY,0.219,18,65,0.288,0.422,15,0.306,95,0.248,0.203,0.231,0.083
Mike Yastrzemski,- - -,0.227,10,33,0.327,0.365,6,0.305,97,0.277,0.139,0.226,0.129
Joey Ortiz,MIL,0.231,7,42,0.285,0.332,11,0.274,74,0.261,0.101,0.152,0.061
Alec Burleson,STL,0.282,15,54,0.334,0.45,5,0.338,119,0.296,0.168,0.138,0.07400000000000001
Jorge Polanco,SEA,0.248,18,53,0.315,0.446,5,0.328,116,0.247,0.198,0.149,0.084
Cedric Mullins,- - -,0.225,16,53,0.303,0.421,16,0.314,101,0.257,0.196,0.24100000000000002,0.096
Lars Nootbaar,STL,0.23,13,41,0.326,0.385,4,0.314,102,0.269,0.155,0.218,0.115
Ian Happ,CHC,0.227,16,55,0.324,0.386,5,0.314,103,0.267,0.159,0.225,0.125
Heliot Ramos,SFG,0.268,14,51,0.342,0.406,6,0.328,113,0.327,0.138,0.22699999999999998,0.08
Cam Smith,HOU,0.253,7,48,0.322,0.375,5,0.308,97,0.344,0.121,0.273,0.08
Matt McLain,CIN,0.224,11,39,0.304,0.339,16,0.288,78,0.292,0.115,0.27,0.09300000000000001
Paul Goldschmidt,NYY,0.276,10,40,0.331,0.422,5,0.325,108,0.327,0.146,0.191,0.071
Jesus Sanchez,- - -,0.249,10,37,0.313,0.407,9,0.313,98,0.293,0.158,0.203,0.081
Ty France,- - -,0.262,6,46,0.331,0.372,1,0.313,99,0.305,0.11,0.163,0.047
Luis Robert Jr.,CHW,0.221,12,47,0.302,0.358,31,0.29,83,0.281,0.137,0.273,0.099
Ke'Bryan Hayes,- - -,0.235,3,39,0.277,0.293,10,0.254,57,0.288,0.059,0.191,0.046
Vinnie Pasquantino,KCR,0.26,22,80,0.321,0.45,1,0.331,108,0.269,0.19,0.156,0.073
Willi Castro,- - -,0.24,10,27,0.324,0.395,9,0.317,102,0.3,0.155,0.24,0.086
Michael Harris II,ATL,0.246,13,59,0.267,0.402,13,0.285,81,0.28,0.156,0.19699999999999998,0.027999999999999997
Jo Adell,LAA,0.228,25,72,0.293,0.464,3,0.326,107,0.247,0.236,0.252,0.064
Gavin Sheets,SDP,0.25,15,54,0.313,0.423,2,0.319,108,0.278,0.173,0.19699999999999998,0.08
Miguel Vargas,CHW,0.226,13,44,0.304,0.396,4,0.307,95,0.246,0.17,0.168,0.092
Jackson Holliday,BAL,0.25,14,45,0.301,0.39,11,0.303,93,0.303,0.14,0.23199999999999998,0.059000000000000004
Nolan Arenado,STL,0.235,10,43,0.294,0.366,2,0.287,84,0.239,0.13,0.099,0.071
Isiah Kiner-Falefa,PIT,0.268,1,32,0.307,0.333,15,0.284,78,0.32,0.065,0.159,0.042
Teoscar Hernandez,LAD,0.256,18,71,0.29,0.461,5,0.321,106,0.304,0.205,0.259,0.045
