Name,Team,AVG,HR,RBI,OBP,SLG,SB,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,0.323,41,95,0.439,0.668,8,0.449,193,0.383,0.345,0.258,0.166
Cal Raleigh,SEA,0.244,50,107,0.351,0.587,14,0.389,158,0.242,0.343,0.27,0.133
Bobby Witt Jr.,KCR,0.298,19,74,0.354,0.501,34,0.361,129,0.34,0.203,0.18899999999999997,0.076
Shohei Ohtani,LAD,0.278,45,85,0.387,0.608,17,0.411,168,0.311,0.331,0.259,0.14800000000000002
Trea Turner,PHI,0.297,14,61,0.351,0.447,32,0.346,121,0.343,0.15,0.171,0.069
Geraldo Perdomo,ARI,0.293,15,87,0.394,0.457,23,0.371,138,0.307,0.164,0.11199999999999999,0.13699999999999998
Pete Crow-Armstrong,CHC,0.256,28,82,0.295,0.508,31,0.339,120,0.287,0.252,0.24,0.043
Corbin Carroll,ARI,0.256,27,67,0.332,0.55,20,0.371,139,0.295,0.294,0.247,0.091
Fernando Tatis Jr.,SDP,0.264,18,55,0.37,0.434,27,0.351,129,0.301,0.17,0.177,0.135
Jose Ramirez,CLE,0.284,26,68,0.358,0.504,36,0.358,131,0.277,0.22,0.11,0.095
Francisco Lindor,NYM,0.265,25,73,0.334,0.456,24,0.341,123,0.291,0.191,0.19,0.075
Jeremy Pena,HOU,0.307,14,50,0.366,0.478,19,0.365,135,0.346,0.171,0.166,0.063
Maikel Garcia,KCR,0.297,13,61,0.36,0.461,22,0.356,125,0.324,0.165,0.131,0.091
Kyle Tucker,CHC,0.263,21,69,0.374,0.462,25,0.361,135,0.278,0.199,0.14800000000000002,0.147
Ketel Marte,ARI,0.29,23,60,0.387,0.529,3,0.39,152,0.298,0.239,0.15,0.128
Julio Rodriguez,SEA,0.263,25,73,0.316,0.458,24,0.334,120,0.302,0.195,0.221,0.057
Gunnar Henderson,BAL,0.278,16,59,0.349,0.464,20,0.349,125,0.338,0.186,0.223,0.092
Byron Buxton,MIN,0.269,27,64,0.331,0.539,19,0.365,135,0.309,0.269,0.268,0.079
Kyle Stowers,MIA,0.288,25,73,0.368,0.544,5,0.387,149,0.356,0.256,0.27399999999999997,0.105
Corey Seager,TEX,0.271,21,50,0.373,0.487,3,0.366,137,0.299,0.216,0.196,0.13
Cody Bellinger,NYY,0.279,25,79,0.331,0.501,11,0.354,128,0.275,0.222,0.126,0.076
Kyle Schwarber,PHI,0.243,45,110,0.367,0.561,10,0.392,152,0.255,0.318,0.264,0.149
Will Smith,LAD,0.295,16,59,0.403,0.494,2,0.388,152,0.345,0.199,0.20600000000000002,0.146
Juan Soto,NYM,0.251,32,79,0.389,0.49,22,0.376,147,0.26,0.24,0.19399999999999998,0.184
Elly De La Cruz,CIN,0.272,19,77,0.343,0.45,32,0.339,113,0.348,0.178,0.26,0.095
Jazz Chisholm Jr.,NYY,0.239,25,64,0.337,0.486,23,0.355,129,0.276,0.247,0.27899999999999997,0.11900000000000001
Alejandro Kirk,TOR,0.299,11,60,0.363,0.424,1,0.343,120,0.31,0.125,0.1,0.09300000000000001
Manny Machado,SDP,0.288,21,78,0.348,0.471,12,0.352,130,0.321,0.183,0.179,0.084
Wyatt Langford,TEX,0.252,19,54,0.346,0.439,18,0.341,119,0.316,0.188,0.267,0.11900000000000001
Nico Hoerner,CHC,0.29,5,53,0.34,0.378,23,0.316,104,0.305,0.087,0.073,0.059000000000000004
George Springer,TOR,0.303,24,67,0.391,0.541,15,0.398,158,0.328,0.238,0.18100000000000002,0.11800000000000001
Vladimir Guerrero Jr.,TOR,0.292,21,72,0.389,0.486,5,0.377,143,0.313,0.194,0.145,0.129
Junior Caminero,TBR,0.257,39,94,0.299,0.535,7,0.35,124,0.249,0.279,0.204,0.057999999999999996
Andy Pages,LAD,0.275,23,75,0.319,0.467,13,0.337,117,0.309,0.192,0.212,0.052000000000000005
Eugenio Suarez,- - -,0.237,42,104,0.309,0.549,4,0.361,133,0.242,0.312,0.27699999999999997,0.069
Zach Neto,LAA,0.27,23,58,0.326,0.491,24,0.348,122,0.327,0.221,0.261,0.057
Matt Chapman,SFG,0.234,18,48,0.343,0.44,9,0.343,123,0.278,0.206,0.25,0.131
Masyn Winn,STL,0.256,9,47,0.312,0.372,9,0.302,94,0.302,0.116,0.184,0.062
Bo Bichette,TOR,0.307,16,86,0.35,0.47,4,0.354,127,0.338,0.163,0.14400000000000002,0.059000000000000004
William Contreras,MIL,0.26,16,66,0.358,0.409,6,0.337,117,0.295,0.149,0.17600000000000002,0.131
James Wood,WSN,0.261,26,83,0.355,0.48,15,0.356,130,0.35,0.219,0.31,0.12300000000000001
Matt Olson,ATL,0.265,20,74,0.362,0.45,1,0.353,127,0.331,0.185,0.24600000000000002,0.129
CJ Abrams,WSN,0.267,17,53,0.329,0.452,26,0.337,117,0.299,0.185,0.177,0.061
Jarren Duran,BOS,0.258,13,73,0.334,0.444,22,0.337,111,0.327,0.187,0.239,0.087
Brice Turang,MIL,0.284,15,67,0.349,0.427,22,0.339,119,0.346,0.143,0.22,0.091
Sal Frelick,MIL,0.297,9,51,0.36,0.409,18,0.339,119,0.328,0.113,0.129,0.078
Randy Arozarena,SEA,0.238,25,64,0.335,0.443,24,0.339,123,0.29,0.206,0.268,0.092
Xander Bogaerts,SDP,0.262,10,49,0.33,0.387,20,0.313,104,0.299,0.125,0.16899999999999998,0.09
Freddie Freeman,LAD,0.302,18,75,0.373,0.501,4,0.373,141,0.359,0.2,0.214,0.096
Shea Langeliers,ATH,0.266,29,65,0.313,0.548,5,0.362,129,0.266,0.282,0.196,0.068
Riley Greene,DET,0.266,32,99,0.321,0.514,2,0.355,128,0.333,0.248,0.308,0.07200000000000001
Taylor Ward,LAA,0.232,30,94,0.319,0.485,3,0.343,119,0.263,0.253,0.263,0.11199999999999999
Ceddanne Rafaela,BOS,0.249,15,55,0.292,0.428,19,0.31,93,0.282,0.178,0.191,0.046
Willy Adames,SFG,0.222,22,66,0.312,0.402,7,0.312,102,0.265,0.181,0.262,0.114
Rafael Devers,- - -,0.258,27,89,0.377,0.479,1,0.368,136,0.315,0.221,0.255,0.154
Bryce Harper,PHI,0.267,21,62,0.359,0.496,11,0.365,134,0.301,0.229,0.21,0.11699999999999999
Pete Alonso,NYM,0.265,29,106,0.347,0.506,1,0.362,138,0.296,0.241,0.222,0.09300000000000001
Ryan O'Hearn,- - -,0.28,16,53,0.373,0.46,3,0.36,133,0.318,0.18,0.18899999999999997,0.11599999999999999
Jackson Chourio,MIL,0.276,17,67,0.311,0.474,18,0.335,116,0.315,0.198,0.201,0.047
