Name,Team,AVG,HR,RBI,OBP,SLG,SB,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,0.324,40,92,0.439,0.669,8,0.449,194,0.385,0.345,0.259,0.16699999999999998
Cal Raleigh,SEA,0.247,49,106,0.353,0.593,14,0.391,160,0.248,0.345,0.271,0.133
Bobby Witt Jr.,KCR,0.297,19,72,0.355,0.504,34,0.363,130,0.338,0.207,0.188,0.078
Shohei Ohtani,LAD,0.28,45,84,0.389,0.619,17,0.416,171,0.314,0.339,0.261,0.14800000000000002
Trea Turner,PHI,0.3,14,61,0.354,0.449,32,0.349,123,0.344,0.15,0.16699999999999998,0.07
Geraldo Perdomo,ARI,0.29,14,84,0.393,0.45,23,0.368,136,0.303,0.16,0.109,0.14
Pete Crow-Armstrong,CHC,0.254,28,82,0.294,0.508,30,0.339,120,0.284,0.254,0.242,0.043
Corbin Carroll,ARI,0.254,27,65,0.331,0.554,20,0.372,139,0.29,0.3,0.245,0.091
Fernando Tatis Jr.,SDP,0.264,17,52,0.373,0.429,26,0.35,129,0.302,0.165,0.179,0.138
Jose Ramirez,CLE,0.288,26,68,0.362,0.512,36,0.363,135,0.279,0.223,0.10400000000000001,0.09699999999999999
Maikel Garcia,KCR,0.3,13,58,0.363,0.469,22,0.36,128,0.328,0.169,0.134,0.091
Francisco Lindor,NYM,0.265,25,72,0.334,0.461,23,0.342,124,0.289,0.196,0.19,0.077
Jeremy Pena,HOU,0.306,14,50,0.365,0.477,18,0.364,135,0.343,0.172,0.165,0.062
Kyle Tucker,CHC,0.262,21,69,0.375,0.464,25,0.362,136,0.275,0.202,0.14300000000000002,0.149
Gunnar Henderson,BAL,0.283,16,59,0.353,0.471,19,0.354,128,0.342,0.188,0.22,0.09300000000000001
Kyle Schwarber,PHI,0.248,45,109,0.371,0.573,10,0.399,157,0.263,0.325,0.266,0.149
Ketel Marte,ARI,0.29,23,58,0.388,0.534,3,0.393,153,0.297,0.244,0.149,0.128
Elly De La Cruz,CIN,0.275,19,77,0.347,0.458,31,0.344,116,0.348,0.183,0.252,0.09699999999999999
Julio Rodriguez,SEA,0.259,25,73,0.313,0.459,23,0.332,119,0.298,0.2,0.225,0.057
Kyle Stowers,MIA,0.288,25,73,0.368,0.544,5,0.387,149,0.356,0.256,0.27399999999999997,0.105
Juan Soto,NYM,0.25,32,77,0.388,0.496,21,0.377,147,0.257,0.246,0.19399999999999998,0.183
Byron Buxton,MIN,0.27,25,62,0.331,0.529,19,0.362,132,0.313,0.259,0.267,0.079
Vladimir Guerrero Jr.,TOR,0.298,21,69,0.396,0.497,5,0.384,148,0.318,0.199,0.141,0.13
Manny Machado,SDP,0.292,21,78,0.354,0.48,12,0.358,134,0.322,0.188,0.17300000000000001,0.086
Will Smith,LAD,0.297,15,58,0.403,0.491,2,0.388,151,0.348,0.194,0.203,0.14400000000000002
Corey Seager,TEX,0.269,19,47,0.369,0.473,3,0.359,132,0.3,0.204,0.196,0.127
Jazz Chisholm Jr.,NYY,0.239,24,62,0.333,0.484,22,0.352,127,0.278,0.245,0.281,0.113
Cody Bellinger,NYY,0.27,24,75,0.322,0.488,11,0.345,122,0.266,0.218,0.129,0.07400000000000001
Alejandro Kirk,TOR,0.293,10,57,0.354,0.412,1,0.334,115,0.305,0.119,0.102,0.08800000000000001
Masyn Winn,STL,0.258,9,46,0.314,0.378,9,0.305,96,0.302,0.119,0.179,0.064
Junior Caminero,TBR,0.255,37,91,0.298,0.527,6,0.347,122,0.249,0.272,0.203,0.059000000000000004
Wyatt Langford,TEX,0.248,19,54,0.338,0.437,18,0.336,117,0.31,0.189,0.271,0.11599999999999999
Nico Hoerner,CHC,0.291,4,50,0.34,0.373,23,0.314,103,0.307,0.082,0.07400000000000001,0.06
Eugenio Suarez,- - -,0.236,40,98,0.307,0.542,3,0.357,130,0.244,0.306,0.28,0.067
James Wood,WSN,0.258,26,83,0.353,0.478,15,0.355,129,0.344,0.221,0.31,0.125
Bo Bichette,TOR,0.304,16,83,0.348,0.471,4,0.353,127,0.336,0.167,0.145,0.059000000000000004
Brice Turang,MIL,0.286,14,64,0.351,0.426,22,0.339,119,0.348,0.141,0.21899999999999997,0.091
Sal Frelick,MIL,0.298,9,50,0.363,0.413,18,0.342,121,0.331,0.115,0.131,0.079
Andy Pages,LAD,0.271,21,71,0.316,0.452,13,0.331,113,0.307,0.182,0.21100000000000002,0.053
Zach McKinstry,DET,0.266,11,42,0.342,0.453,19,0.343,120,0.324,0.187,0.22,0.095
Randy Arozarena,SEA,0.24,24,61,0.34,0.446,24,0.342,126,0.293,0.205,0.264,0.094
Jarren Duran,BOS,0.257,12,70,0.334,0.442,21,0.336,111,0.328,0.185,0.239,0.087
George Springer,TOR,0.292,22,64,0.381,0.523,13,0.387,151,0.315,0.231,0.18,0.11699999999999999
Freddie Freeman,LAD,0.302,18,75,0.375,0.501,4,0.374,142,0.36,0.199,0.215,0.098
Riley Greene,DET,0.264,31,95,0.321,0.512,1,0.355,128,0.331,0.248,0.308,0.073
Matt Olson,ATL,0.265,19,72,0.362,0.447,1,0.352,126,0.33,0.182,0.242,0.13
CJ Abrams,WSN,0.262,17,51,0.325,0.452,26,0.336,115,0.292,0.189,0.17800000000000002,0.061
Matt Chapman,SFG,0.227,16,44,0.337,0.42,8,0.334,117,0.276,0.193,0.255,0.131
William Contreras,MIL,0.255,14,63,0.356,0.393,6,0.33,113,0.292,0.138,0.17800000000000002,0.134
Willy Adames,SFG,0.225,22,65,0.315,0.408,7,0.316,105,0.269,0.183,0.26,0.114
Xander Bogaerts,SDP,0.262,10,48,0.33,0.39,19,0.314,104,0.297,0.128,0.165,0.092
Ceddanne Rafaela,BOS,0.249,14,53,0.293,0.421,19,0.309,92,0.282,0.172,0.187,0.047
Ryan O'Hearn,- - -,0.279,16,53,0.372,0.462,3,0.361,133,0.313,0.183,0.185,0.11699999999999999
Taylor Ward,LAA,0.233,30,94,0.316,0.488,3,0.342,119,0.265,0.254,0.267,0.107
Zach Neto,LAA,0.264,21,55,0.32,0.47,23,0.338,115,0.32,0.207,0.26,0.055999999999999994
Jackson Chourio,MIL,0.276,17,67,0.311,0.474,18,0.335,116,0.315,0.198,0.201,0.047
Bryce Harper,PHI,0.263,21,60,0.358,0.5,11,0.366,135,0.292,0.237,0.207,0.12
Pete Alonso,NYM,0.26,29,103,0.343,0.505,1,0.36,136,0.287,0.245,0.223,0.094
Shea Langeliers,ATH,0.262,28,61,0.308,0.539,5,0.356,126,0.26,0.277,0.198,0.067
