Name,Team,AVG,HR,RBI,OBP,SLG,SB,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,0.333,39,91,0.447,0.687,7,0.458,200,0.394,0.354,0.255,0.168
Cal Raleigh,SEA,0.249,47,102,0.355,0.593,14,0.393,161,0.249,0.344,0.267,0.134
Shohei Ohtani,LAD,0.285,43,81,0.392,0.621,17,0.418,173,0.325,0.337,0.266,0.146
Bobby Witt Jr.,KCR,0.291,17,67,0.351,0.493,32,0.357,126,0.335,0.202,0.19399999999999998,0.08
Pete Crow-Armstrong,CHC,0.259,27,79,0.3,0.518,30,0.346,125,0.292,0.259,0.242,0.044000000000000004
Trea Turner,PHI,0.295,13,57,0.351,0.442,28,0.345,120,0.338,0.147,0.165,0.07200000000000001
Jose Ramirez,CLE,0.29,25,64,0.363,0.513,36,0.364,136,0.281,0.223,0.10400000000000001,0.095
Geraldo Perdomo,ARI,0.287,13,80,0.388,0.441,21,0.363,133,0.3,0.154,0.10800000000000001,0.13699999999999998
Fernando Tatis Jr.,SDP,0.264,17,50,0.368,0.431,24,0.348,128,0.303,0.167,0.184,0.131
Corbin Carroll,ARI,0.251,27,64,0.327,0.55,16,0.369,137,0.282,0.299,0.244,0.08900000000000001
Maikel Garcia,KCR,0.302,12,56,0.363,0.473,22,0.361,129,0.33,0.171,0.131,0.08800000000000001
Ketel Marte,ARI,0.295,23,56,0.395,0.553,3,0.403,160,0.295,0.258,0.13699999999999998,0.13
Julio Rodriguez,SEA,0.261,24,69,0.315,0.459,23,0.334,120,0.301,0.199,0.226,0.057
Jeremy Pena,HOU,0.31,13,45,0.366,0.48,17,0.365,136,0.351,0.17,0.16899999999999998,0.055999999999999994
Francisco Lindor,NYM,0.259,24,71,0.327,0.455,20,0.337,120,0.28,0.196,0.19,0.07400000000000001
Kyle Schwarber,PHI,0.249,43,103,0.372,0.572,10,0.399,157,0.269,0.323,0.272,0.147
Kyle Stowers,MIA,0.288,25,73,0.368,0.544,5,0.387,149,0.356,0.256,0.27399999999999997,0.105
Byron Buxton,MIN,0.28,25,61,0.34,0.556,18,0.376,142,0.325,0.277,0.26899999999999996,0.079
Elly De La Cruz,CIN,0.275,19,76,0.349,0.459,31,0.345,117,0.345,0.184,0.251,0.099
Vladimir Guerrero Jr.,TOR,0.298,21,69,0.396,0.498,5,0.385,149,0.319,0.2,0.141,0.13
Kyle Tucker,CHC,0.261,18,62,0.374,0.447,25,0.356,131,0.278,0.187,0.14400000000000002,0.14800000000000002
Gunnar Henderson,BAL,0.281,15,57,0.352,0.472,16,0.353,128,0.341,0.19,0.221,0.09300000000000001
Juan Soto,NYM,0.251,30,71,0.385,0.495,20,0.375,146,0.259,0.244,0.193,0.17800000000000002
Manny Machado,SDP,0.29,20,72,0.353,0.477,11,0.357,134,0.323,0.187,0.179,0.086
Masyn Winn,STL,0.26,9,46,0.314,0.382,7,0.306,97,0.303,0.122,0.17800000000000002,0.066
Corey Seager,TEX,0.264,18,44,0.365,0.47,3,0.356,130,0.294,0.206,0.19899999999999998,0.13
Matt Olson,ATL,0.267,19,72,0.366,0.453,1,0.357,129,0.331,0.186,0.24100000000000002,0.134
Cody Bellinger,NYY,0.266,22,72,0.32,0.483,10,0.342,120,0.264,0.217,0.129,0.076
Andy Pages,LAD,0.276,20,70,0.322,0.458,12,0.336,116,0.312,0.182,0.209,0.053
Alejandro Kirk,TOR,0.292,9,53,0.352,0.405,1,0.331,112,0.303,0.113,0.09699999999999999,0.087
Nico Hoerner,CHC,0.291,4,48,0.339,0.374,22,0.315,103,0.307,0.084,0.073,0.059000000000000004
Junior Caminero,TBR,0.258,35,85,0.298,0.528,5,0.348,123,0.255,0.27,0.209,0.055999999999999994
Jazz Chisholm Jr.,NYY,0.236,21,56,0.333,0.468,21,0.347,123,0.277,0.233,0.278,0.11699999999999999
Jarren Duran,BOS,0.263,12,69,0.337,0.455,20,0.342,115,0.334,0.192,0.23800000000000002,0.084
